[0, 'video_2.mp4', 20.072, '15:58:52', '2021-05-10', '']
[0, 'video_3.mp4', 20.072, '15:58:52', '2021-05-10', '']
[0, 'video_1.mp4', 19.6237, '15:58:53', '2021-05-10', '']
[0, 'video.mp4', 19.6237, '15:58:53', '2021-05-10', '']
[0, 'video_3.mp4', 19.6237, '15:58:53', '2021-05-10', '']
[0, 'video_2.mp4', 19.6237, '15:58:53', '2021-05-10', '']
[0, 'video.mp4', 20.1338, '15:58:53', '2021-05-10', '']
[0, 'video_1.mp4', 20.1338, '15:58:53', '2021-05-10', '']
[0, 'video_2.mp4', 20.1338, '15:58:53', '2021-05-10', '']
[0, 'video_3.mp4', 20.1338, '15:58:53', '2021-05-10', '']
[0, 'video.mp4', 20.251, '15:58:53', '2021-05-10', '']
[0, 'video_1.mp4', 20.251, '15:58:53', '2021-05-10', '']
[0, 'video_3.mp4', 20.251, '15:58:53', '2021-05-10', '']
[0, 'video_2.mp4', 20.251, '15:58:53', '2021-05-10', '']
[0, 'video.mp4', 19.1122, '15:58:54', '2021-05-10', '']
[0, 'video_1.mp4', 19.1122, '15:58:54', '2021-05-10', '']
[0, 'video_3.mp4', 19.1122, '15:58:54', '2021-05-10', '']
[0, 'video_2.mp4', 19.1122, '15:58:54', '2021-05-10', '']
[0, 'video.mp4', 19.0777, '15:58:54', '2021-05-10', '']
[0, 'video_1.mp4', 19.0777, '15:58:54', '2021-05-10', '']
[0, 'video_3.mp4', 19.0777, '15:58:54', '2021-05-10', '']
[0, 'video_2.mp4', 19.0777, '15:58:54', '2021-05-10', '']
[0, 'video.mp4', 20.0148, '15:58:54', '2021-05-10', '']
[0, 'video_1.mp4', 20.0148, '15:58:54', '2021-05-10', '']
[0, 'video_2.mp4', 20.0148, '15:58:54', '2021-05-10', '']
[0, 'video_3.mp4', 20.0148, '15:58:55', '2021-05-10', '']
[0, 'video.mp4', 19.1772, '15:58:55', '2021-05-10', '']
[0, 'video_1.mp4', 19.1772, '15:58:55', '2021-05-10', '']
[0, 'video_3.mp4', 19.1772, '15:58:55', '2021-05-10', '']
[0, 'video_2.mp4', 19.1772, '15:58:55', '2021-05-10', '']
[0, 'video_1.mp4', 18.7522, '15:58:55', '2021-05-10', '']
[0, 'video.mp4', 18.7522, '15:58:55', '2021-05-10', '']
[0, 'video_3.mp4', 18.7522, '15:58:55', '2021-05-10', '']
[0, 'video_2.mp4', 18.7522, '15:58:55', '2021-05-10', '']
[0, 'video_1.mp4', 19.0067, '15:58:55', '2021-05-10', '']
[0, 'video_2.mp4', 19.0067, '15:58:56', '2021-05-10', '']
[0, 'video_3.mp4', 19.0067, '15:58:56', '2021-05-10', '']
[0, 'video_1.mp4', 19.6481, '15:58:56', '2021-05-10', '']
[0, 'video.mp4', 19.6481, '15:58:56', '2021-05-10', '']
[0, 'video_2.mp4', 19.6481, '15:58:56', '2021-05-10', '']
[0, 'video_3.mp4', 19.6481, '15:58:56', '2021-05-10', '']
[0, 'video_1.mp4', 19.1062, '15:58:56', '2021-05-10', '']
[0, 'video.mp4', 19.1062, '15:58:56', '2021-05-10', '']
[0, 'video_3.mp4', 19.1062, '15:58:56', '2021-05-10', '']
[0, 'video_2.mp4', 19.1062, '15:58:56', '2021-05-10', '']
[0, 'video_1.mp4', 18.9153, '15:58:57', '2021-05-10', '']
[0, 'video.mp4', 18.9153, '15:58:57', '2021-05-10', '']
[0, 'video_2.mp4', 18.9153, '15:58:57', '2021-05-10', '']
[0, 'video_3.mp4', 18.9153, '15:58:57', '2021-05-10', '']
[0, 'video.mp4', 20.3145, '15:58:57', '2021-05-10', '']
[0, 'video_1.mp4', 20.3145, '15:58:57', '2021-05-10', '']
[0, 'video_3.mp4', 20.3145, '15:58:57', '2021-05-10', '']
[0, 'video_2.mp4', 20.3145, '15:58:57', '2021-05-10', '']
[0, 'video.mp4', 19.8585, '15:58:57', '2021-05-10', '']
