['video_2.mp4', '19.6481%', datetime.datetime(2021, 5, 8, 23, 1, 43, 580623)]
['video_1.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 43, 734957)]
['video_3.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 43, 750972)]
['video_2.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 43, 766985)]
['video_1.mp4', '19.1062%', datetime.datetime(2021, 5, 8, 23, 1, 43, 921705)]
['video_3.mp4', '19.1062%', datetime.datetime(2021, 5, 8, 23, 1, 43, 936718)]
['video_2.mp4', '19.1062%', datetime.datetime(2021, 5, 8, 23, 1, 43, 953733)]
['video_1.mp4', '18.9047%', datetime.datetime(2021, 5, 8, 23, 1, 44, 110703)]
['video_3.mp4', '18.9047%', datetime.datetime(2021, 5, 8, 23, 1, 44, 127718)]
['video_2.mp4', '18.9047%', datetime.datetime(2021, 5, 8, 23, 1, 44, 142731)]
['video_1.mp4', '18.9153%', datetime.datetime(2021, 5, 8, 23, 1, 44, 300526)]
['video_3.mp4', '18.9153%', datetime.datetime(2021, 5, 8, 23, 1, 44, 315540)]
['video_2.mp4', '18.9153%', datetime.datetime(2021, 5, 8, 23, 1, 44, 331554)]
['video_1.mp4', '18.9580%', datetime.datetime(2021, 5, 8, 23, 1, 44, 488544)]
['video_3.mp4', '18.9580%', datetime.datetime(2021, 5, 8, 23, 1, 44, 504558)]
['video_2.mp4', '18.9580%', datetime.datetime(2021, 5, 8, 23, 1, 44, 520572)]
['video_1.mp4', '20.3145%', datetime.datetime(2021, 5, 8, 23, 1, 44, 676297)]
['video_3.mp4', '20.3145%', datetime.datetime(2021, 5, 8, 23, 1, 44, 691816)]
['video_2.mp4', '20.3145%', datetime.datetime(2021, 5, 8, 23, 1, 44, 706828)]
['video_1.mp4', '20.6784%', datetime.datetime(2021, 5, 8, 23, 1, 44, 866709)]
['video_3.mp4', '20.6784%', datetime.datetime(2021, 5, 8, 23, 1, 44, 878719)]
['video_2.mp4', '20.6784%', datetime.datetime(2021, 5, 8, 23, 1, 44, 895719)]
['video_1.mp4', '19.8585%', datetime.datetime(2021, 5, 8, 23, 1, 45, 53051)]
['video_3.mp4', '19.8585%', datetime.datetime(2021, 5, 8, 23, 1, 45, 70066)]
['video_2.mp4', '19.8585%', datetime.datetime(2021, 5, 8, 23, 1, 45, 85081)]
['video_1.mp4', '19.4370%', datetime.datetime(2021, 5, 8, 23, 1, 45, 241528)]
['video_3.mp4', '19.4370%', datetime.datetime(2021, 5, 8, 23, 1, 45, 256541)]
['video_2.mp4', '19.4370%', datetime.datetime(2021, 5, 8, 23, 1, 45, 272555)]
['video_1.mp4', '19.4282%', datetime.datetime(2021, 5, 8, 23, 1, 45, 430526)]
['video_3.mp4', '19.4282%', datetime.datetime(2021, 5, 8, 23, 1, 45, 446540)]
['video_2.mp4', '19.4282%', datetime.datetime(2021, 5, 8, 23, 1, 45, 462555)]
['video_1.mp4', '18.3833%', datetime.datetime(2021, 5, 8, 23, 1, 45, 619527)]
['video_3.mp4', '18.3833%', datetime.datetime(2021, 5, 8, 23, 1, 45, 635543)]
['video_2.mp4', '18.3833%', datetime.datetime(2021, 5, 8, 23, 1, 45, 653558)]
['video_1.mp4', '18.8525%', datetime.datetime(2021, 5, 8, 23, 1, 45, 811528)]
